BW25113_RS03160,uspG
BW25113_RS03165,ybdR
BW25113_RS26315,yldA
BW25113_RS03175,rnk
BW25113_RS03180,rna
BW25113_RS03185,citT
BW25113_RS03190,citG
BW25113_RS03195,citX
BW25113_RS03200,citF
BW25113_RS03205,citE
BW25113_RS03210,citD
BW25113_RS03215,citC
BW25113_RS03220,dpiB
BW25113_RS03225,dpiA
BW25113_RS03230,dcuC
BW25113_RS03235,pagP
BW25113_RS03240,cspE
BW25113_RS03245,crcB
BW25113_RS03250,WITHOUT NAME
BW25113_RS03255,tatE
BW25113_RS03260,lipA
BW25113_RS03265,ybeF
BW25113_RS03275,lipB
BW25113_RS03280,ybeD
BW25113_RS03285,dacA
BW25113_RS03290,rlpA
BW25113_RS03295,mrdB
BW25113_RS03300,mrdA
BW25113_RS03305,rlmH
BW25113_RS03310,rsfS
BW25113_RS03315,cobC
BW25113_RS03320,nadD
BW25113_RS03325,holA
BW25113_RS03330,lptE
BW25113_RS03335,leuS
BW25113_RS03340,ybeL
BW25113_RS03345,ybeQ
BW25113_RS03350,ybeR
BW25113_RS03355,djlB
BW25113_RS03360,ybeT
BW25113_RS03365,ybeU
BW25113_RS03370,djlC
BW25113_RS03375,hscC
BW25113_RS03380,rihA
BW25113_RS03385,gltL
BW25113_RS03390,gltK
BW25113_RS03395,gltJ
BW25113_RS03400,gltI
BW25113_RS03405,WITHOUT NAME
BW25113_RS03410,lnt
BW25113_RS03415,corC
BW25113_RS03420,ybeY
BW25113_RS03425,ybeZ
BW25113_RS03430,miaB
BW25113_RS03435,ubiF
BW25113_RS03440,WITHOUT NAME
BW25113_RS03445,WITHOUT NAME
BW25113_RS03450,WITHOUT NAME
BW25113_RS03455,WITHOUT NAME
BW25113_RS03460,WITHOUT NAME
BW25113_RS03465,WITHOUT NAME
BW25113_RS03470,WITHOUT NAME
BW25113_RS03475,asnB
BW25113_RS26320,WITHOUT NAME
BW25113_RS03480,nagD
BW25113_RS03485,nagC
BW25113_RS03490,nagA
BW25113_RS03495,nagB
BW25113_RS03500,nagE
BW25113_RS03505,glnS
BW25113_RS03510,chiP
BW25113_RS03515,chiQ
BW25113_RS03520,fur
BW25113_RS03525,uof
BW25113_RS03535,fldA
BW25113_RS03540,ybfE
BW25113_RS03545,ybfF
BW25113_RS03550,seqA
BW25113_RS03555,pgm
BW25113_RS03560,WITHOUT NAME
BW25113_RS03565,WITHOUT NAME
BW25113_RS03570,WITHOUT NAME
BW25113_RS03575,potE
BW25113_RS03580,speF
BW25113_RS26090,WITHOUT NAME
BW25113_RS03590,kdpE
BW25113_RS03595,kdpD
BW25113_RS03600,kdpC
BW25113_RS03605,kdpB
BW25113_RS03610,kdpA
BW25113_RS03615,kdpF
BW25113_RS03620,ybfA
BW25113_RS03625,rhsC
BW25113_RS03630,ybfB
BW25113_RS03635,WITHOUT NAME
BW25113_RS03640,ybfC
BW25113_RS03645,ybfQ
BW25113_RS03650,WITHOUT NAME
BW25113_RS03655,ybfD
BW25113_RS03660,ybgA
BW25113_RS03665,phrB
BW25113_RS03670,dtpD
BW25113_RS03675,ybgI
BW25113_RS03680,pxpB
BW25113_RS03685,pxpC
BW25113_RS03690,pxpA
BW25113_RS03695,nei
BW25113_RS03700,abrB
BW25113_RS03705,ybgO
BW25113_RS03710,ybgP
BW25113_RS03715,ybgQ
BW25113_RS03720,ybgD
BW25113_RS03725,gltA
BW25113_RS25495,WITHOUT NAME
BW25113_RS03735,sdhC
BW25113_RS03740,sdhD
BW25113_RS03745,sdhA
BW25113_RS03750,sdhB
BW25113_RS03760,sucA
BW25113_RS03765,odhB
BW25113_RS03770,sucC
BW25113_RS03775,sucD
BW25113_RS03780,mngR
BW25113_RS03785,mngA
BW25113_RS03790,mngB
BW25113_RS03800,cydA
BW25113_RS03805,cydB
BW25113_RS03810,cydX
BW25113_RS03815,ybgE
BW25113_RS03820,ybgC
BW25113_RS03825,tolQ
BW25113_RS03830,tolR
BW25113_RS03835,tolA
BW25113_RS03840,tolB
BW25113_RS03845,pal
BW25113_RS03850,cpoB
BW25113_RS03855,WITHOUT NAME
BW25113_RS03860,WITHOUT NAME
BW25113_RS03865,WITHOUT NAME
BW25113_RS03870,WITHOUT NAME
BW25113_RS03875,WITHOUT NAME
BW25113_RS03880,WITHOUT NAME
BW25113_RS03885,WITHOUT NAME
BW25113_RS23060,WITHOUT NAME
BW25113_RS03890,nadA
BW25113_RS03895,pnuC
BW25113_RS03900,zitB
BW25113_RS03905,ybgS
BW25113_RS03915,aroG
BW25113_RS03920,gpmA
BW25113_RS03925,galM
BW25113_RS03930,galK
BW25113_RS03935,galT
BW25113_RS03940,galE
BW25113_RS03945,modF
BW25113_RS03955,modE
BW25113_RS03960,acrZ
BW25113_RS03965,modA
BW25113_RS03970,modB
BW25113_RS03975,modC
BW25113_RS03980,ybhA
BW25113_RS03985,pgl
BW25113_RS03990,ybhD
BW25113_RS03995,ybhH
BW25113_RS04000,ybhI
BW25113_RS04005,ybhJ
BW25113_RS04010,ybhC
BW25113_RS04015,ybhB
BW25113_RS04020,bioA
BW25113_RS04025,bioB
BW25113_RS04030,bioF
BW25113_RS04035,bioC
BW25113_RS04040,bioD
BW25113_RS04045,uvrB
BW25113_RS26325,WITHOUT NAME
BW25113_RS04050,yvcK
BW25113_RS04060,moaA
BW25113_RS04065,moaB
BW25113_RS04070,moaC
BW25113_RS04075,moaD
BW25113_RS04080,moaE
BW25113_RS04085,ybhL
BW25113_RS04090,ybhM
BW25113_RS04095,ybhN
BW25113_RS04100,clsB
BW25113_RS04105,ybhP
BW25113_RS04110,ybhQ
BW25113_RS04115,ybhR
BW25113_RS04120,ybhS
BW25113_RS04125,ybhF
BW25113_RS04130,hlyD
BW25113_RS04135,cecR
BW25113_RS04140,rhlE
BW25113_RS04145,ybiA
BW25113_RS04150,dinG
BW25113_RS04155,ybiB
BW25113_RS04160,hcxB
BW25113_RS26095,ybiE
BW25113_RS04165,ybiJ
BW25113_RS04170,ybiI
BW25113_RS04175,ybiX
BW25113_RS04180,fiu
BW25113_RS25500,mcbA
BW25113_RS04190,rlmF
BW25113_RS04195,ybiO
BW25113_RS04200,glnQ
BW25113_RS04205,glnP
BW25113_RS04210,glnH
BW25113_RS04220,dps
BW25113_RS04225,rhtA
BW25113_RS25505,WITHOUT NAME
BW25113_RS04230,ompX
BW25113_RS04235,opgE
BW25113_RS04240,mntS
BW25113_RS04245,mntR
BW25113_RS04250,ybiR
BW25113_RS04255,ldtB
BW25113_RS04260,ybiT
BW25113_RS04265,ybiU
BW25113_RS04270,ybiV
BW25113_RS04275,ybiW
BW25113_RS04280,ybiY
BW25113_RS04285,fsa
BW25113_RS04290,moeB
BW25113_RS04295,moeA
BW25113_RS04300,iaaA
BW25113_RS04305,gsiA
BW25113_RS04310,gsiB
BW25113_RS04315,gsiC
BW25113_RS04320,gsiD
BW25113_RS04325,pdeI
BW25113_RS04330,dgcI
BW25113_RS04335,rimO
BW25113_RS04340,bssR
BW25113_RS04345,yliI
BW25113_RS04350,gstB
BW25113_RS04355,dacC
BW25113_RS04360,deoR
BW25113_RS04365,ybjG
BW25113_RS04370,mdfA
BW25113_RS04375,ybjH
BW25113_RS04380,ybjI
BW25113_RS04385,ybjJ
BW25113_RS04390,rcdA
BW25113_RS04395,ybjL
BW25113_RS04400,ybjM
BW25113_RS04405,grxA
BW25113_RS04410,ybjC
BW25113_RS04415,nfsA
BW25113_RS04420,rimK
BW25113_RS04425,ybjN
BW25113_RS04435,potF
BW25113_RS04440,potG
BW25113_RS04445,potH
BW25113_RS04450,potI
BW25113_RS04455,ybjO
BW25113_RS04460,rlmC
BW25113_RS26330,WITHOUT NAME
BW25113_RS04465,artJ
BW25113_RS04470,artM
BW25113_RS04475,artQ
BW25113_RS04480,artI
BW25113_RS04485,artP
BW25113_RS04490,ybjP
BW25113_RS04495,ybjQ
BW25113_RS04500,amiD
BW25113_RS04505,ybjS
BW25113_RS04510,ybjT
BW25113_RS04515,ltaE
BW25113_RS04520,poxB
BW25113_RS04525,hcr
BW25113_RS04530,hcp
BW25113_RS04535,lysO
BW25113_RS04540,aqpZ
BW25113_RS04550,ybjD
BW25113_RS04555,ybjX
BW25113_RS04560,macA
BW25113_RS04565,macB
BW25113_RS04570,cspD
BW25113_RS26100,yljB
BW25113_RS04575,clpS
BW25113_RS04580,clpA
BW25113_RS04585,WITHOUT NAME
BW25113_RS04590,infA
BW25113_RS04595,aat
BW25113_RS04600,cydC
